date,open,high,low,close,volume
2020-01-01T00:00:00Z,7164.9025,7201.6675,7148.7375,7193.015,1226.04620173
2020-01-01T02:00:00Z,7196.13,7220.9,7191.115,7198.88,982.30262706
2020-01-01T04:00:00Z,7199.3075,7202.6775,7188.5975,7196.4675,529.56812432
2020-01-01T06:00:00Z,7197.8475,7209.905,7178.0925,7187.095,687.71791334
2020-01-01T08:00:00Z,7184.5225,7186.045,7157.8275,7170.8575,376.4910862
2020-01-01T10:00:00Z,7170.825,7212.91,7169.8025,7176.9825,454.81930064
2020-01-01T12:00:00Z,7177.9775,7212.5375,7174.8325,7197.9175,429.92172172
2020-01-01T14:00:00Z,7199.055,7233.9225,7189.1675,7212.4675,626.58855172
2020-01-01T16:00:00Z,7214.8275,7232.29,7196.1175,7218.4925,559.94155063
2020-01-01T18:00:00Z,7219.6975,7228.9025,7204.3375,7209.085,658.57344054
2020-01-01T20:00:00Z,7208.43,7222.4825,7204.5675,7214.9775,417.37518572
2020-01-01T22:00:00Z,7215.7025,7215.9025,7154.77,7175.6525,722.80321541
2020-01-02T00:00:00Z,7174.665,7184.7225,7161.7075,7165.865,468.46069194
2020-01-02T02:00:00Z,7164.8225,7164.8225,7096.44,7100.1575,1572.53718344
2020-01-02T04:00:00Z,7098.4975,7129.305,7088.1,7109.2075,807.75031391
2020-01-02T06:00:00Z,7108.8925,7119.045,7073.8475,7079.965,883.14141256
2020-01-02T08:00:00Z,7078.1525,7133.1875,7077.3925,7133.0175,661.52746748
2020-01-02T10:00:00Z,7132.8325,7153.685,7118.73,7118.73,544.13405001
2020-01-02T12:00:00Z,7119.3675,7139.4025,7082.305,7109.29,818.72914792
2020-01-02T14:00:00Z,7109.5225,7137.155,7098.0125,7112.5375,926.77661623
2020-01-02T16:00:00Z,7112.505,7124.015,6906.505,6946.1725,5963.33224446
2020-01-02T18:00:00Z,6947.2475,6975.72,6928.0125,6965.735,2294.11484521
2020-01-02T20:00:00Z,6965.7375,6967.6875,6924.07,6958.17,1576.00380213
2020-01-02T22:00:00Z,6958.0725,6959.4275,6937.0625,6945.695,944.72016204
2020-01-03T00:00:00Z,6944.76,6945.71,6865.6175,6870.1975,1996.81776534
2020-01-03T02:00:00Z,6868.71,6948.265,6857.05,6934.1025,1348.13214066
2020-01-03T04:00:00Z,6936.4325,7273.52,6934.25,7200.45,5842.1625418
2020-01-03T06:00:00Z,7201.2675,7219.84,7176.2175,7188.9925,1889.73746167
2020-01-03T08:00:00Z,7190.1275,7345.5175,7187.7375,7335.215,4077.69486894
2020-01-03T10:00:00Z,7338.9975,7361.75,7274.015,7328.86,2753.20882561
2020-01-03T12:00:00Z,7328.915,7371.0525,7294.5325,7340.8675,2149.47912107
2020-01-03T14:00:00Z,7341.0675,7347.825,7228.9275,7313.1225,2997.52143182
2020-01-03T16:00:00Z,7314.7975,7398.62,7290.8775,7354.4725,3645.52490118
2020-01-03T18:00:00Z,7356.745,7362.7025,7275.275,7330.6125,1654.31227192
2020-01-03T20:00:00Z,7331.2725,7350.9625,7259.305,7266.625,1660.46246709
2020-01-03T22:00:00Z,7271.4725,7335.29,7248.2175,7335.29,1708.26600941
2020-01-04T00:00:00Z,7333.3075,7341.585,7277.9075,7302.985,785.70448092
2020-01-04T02:00:00Z,7302.16,7332.9775,7290.325,7327.8225,650.3905
2020-01-04T04:00:00Z,7325.8225,7357.515,7304.8975,7333.6175,679.9615739
2020-01-04T06:00:00Z,7333.565,7357.0725,7323.5375,7341.33,569.83389514
2020-01-04T08:00:00Z,7340.5675,7357.245,7327.5725,7351.035,712.3017668
2020-01-04T10:00:00Z,7352.3375,7356.1375,7292.3425,7322.4975,616.50045127
2020-01-04T12:00:00Z,7323.98,7326.885,7278.865,7287.5425,1092.42070818
2020-01-04T14:00:00Z,7286.5075,7316.485,7283.085,7306.6175,1011.04157705
2020-01-04T16:00:00Z,7309.445,7339.88,7288.03,7339.79,796.0432691
2020-01-04T18:00:00Z,7340.1725,7392.67,7259.47,7319.565,3055.10817968
2020-01-04T20:00:00Z,7320.64,7355.5625,7298.7375,7343.295,1197.35805535
2020-01-04T22:00:00Z,7344.4675,7352.37,7324.865,7349.0325,611.00246478
2020-01-05T00:00:00Z,7351.925,7471.9225,7351.9225,7451.2075,3046.4128536
2020-01-05T02:00:00Z,7455.26,7478.53,7424.6425,7471.3775,1230.3877319
2020-01-05T04:00:00Z,7472.175,7491.835,7442.1175,7455.6275,901.34523134
2020-01-05T06:00:00Z,7454.2675,7476.0175,7441.31,7464.4575,974.14853771
2020-01-05T08:00:00Z,7467.1625,7473.8575,7393.745,7423.83,1002.51239557
2020-01-05T10:00:00Z,7423.2675,7437.4925,7405.8,7422.88,435.83947188
2020-01-05T12:00:00Z,7423.5725,7457.6025,7416.68,7431.485,603.56918449
2020-01-05T14:00:00Z,7432.6275,7471.9275,7427.6525,7460.08,606.67147901
2020-01-05T16:00:00Z,7463.985,7478.4275,7446.625,7461.455,744.33854812
2020-01-05T18:00:00Z,7462.0925,7464.475,7419.4175,7438.1075,624.2787022
2020-01-05T20:00:00Z,7437.2775,7437.2775,7361.3625,7361.3775,907.64306452
2020-01-05T22:00:00Z,7363.5775,7378.8325,7311.775,7352.6925,1478.78681773
2020-01-06T00:00:00Z,7351.62,7414.2875,7344.7775,7413.8025,1154.15874328
2020-01-06T02:00:00Z,7413.8,7578.8025,7411.53,7539.6025,4549.01139706
2020-01-06T04:00:00Z,7541.0425,7550.3725,7498.43,7523.425,1164.73901297
2020-01-06T06:00:00Z,7524.1475,7527.23,7505.2225,7506.3225,594.20875766
2020-01-06T08:00:00Z,7506.3575,7546.8075,7504.5375,7541.655,1339.88622776
2020-01-06T10:00:00Z,7544.8075,7577.03,7519.8925,7531.9775,1054.46875836
2020-01-06T12:00:00Z,7534.145,7613.925,7486.4325,7522.075,2121.35553604
2020-01-06T14:00:00Z,7518.7525,7550.3425,7500.3425,7516.3625,1658.27538494
2020-01-06T16:00:00Z,7517.49,7554.135,7507.9725,7551.27,1661.25605953
2020-01-06T18:00:00Z,7554.0475,7554.47,7519.405,7534.9175,1244.29881056
2020-01-06T20:00:00Z,7536.55,7604.305,7532.4975,7574.2075,1900.59751334
2020-01-06T22:00:00Z,7574.6925,7807.485,7572.755,7761.8475,7611.43421584
2020-01-07T00:00:00Z,7765.255,8000.62,7763.535,7910.215,9332.01308892
2020-01-07T02:00:00Z,7909.17,7944.735,7890.76,7898.3225,2443.67333611
2020-01-07T04:00:00Z,7898.6275,7905.2075,7820.535,7876.24,1822.18081927
2020-01-07T06:00:00Z,7876.0675,7890.9775,7861.0625,7878.6225,914.77221332
2020-01-07T08:00:00Z,7877.07,7898.68,7857.155,7858.42,1258.32325737
2020-01-07T10:00:00Z,7858.465,7962.015,7857.135,7893.565,1600.13536461
2020-01-07T12:00:00Z,7893.555,7913.4325,7813.0625,7850.4125,2024.79085763
2020-01-07T14:00:00Z,7851.105,7884.925,7743.8125,7765.58,3964.34944932
2020-01-07T16:00:00Z,7762.89,7955.14,7721.1575,7939.9825,5017.50629544
2020-01-07T18:00:00Z,7940.3125,8131.9475,7922.8925,8079.7075,6688.32237031
2020-01-07T20:00:00Z,8077.5475,8194.775,8009.735,8021.9925,5474.16341452
2020-01-07T22:00:00Z,8020.015,8224.625,7960.335,8159.0075,4047.28876831
2020-01-08T00:00:00Z,8156.165,8464.4025,8153.04,8377.2825,11407.01102098
2020-01-08T02:00:00Z,8378.165,8430.295,8251.3375,8302.7675,4443.11578054
2020-01-08T04:00:00Z,8305.405,8377.5125,8286.7775,8336.3825,1641.5906561
2020-01-08T06:00:00Z,8336.205,8361.675,8280.25,8300.7375,1309.81352751
2020-01-08T08:00:00Z,8300.1075,8329.8725,8269.9975,8297.155,1112.67440281
2020-01-08T10:00:00Z,8296.7075,8371.86,8285.54,8336.2575,1491.99134142
2020-01-08T12:00:00Z,8340.8675,8415.2225,8222.38,8385.545,3760.42009298
2020-01-08T14:00:00Z,8386.6825,8386.685,8202.295,8300.6425,3878.03466784
2020-01-08T16:00:00Z,8304.9075,8330.8475,8010.9025,8077.8075,8424.27414012
2020-01-08T18:00:00Z,8075.6025,8090.795,7963.2175,7966.2875,3434.98031836
2020-01-08T20:00:00Z,7963.83,8049.525,7866.2375,8001.9125,6195.78996429
2020-01-08T22:00:00Z,8005.2175,8110.115,7978.135,8043.8175,2826.36643722
2020-01-09T00:00:00Z,8045.23,8045.56,7931.105,7994.5975,2748.28472017
2020-01-09T02:00:00Z,7994.9225,8019.985,7934.0975,7946.0975,1184.98745245
2020-01-09T04:00:00Z,7949.685,7973.8125,7926.8225,7939.54,877.64686142
2020-01-09T06:00:00Z,7939.5475,7965.685,7904.385,7944.7075,1099.94315877
2020-01-09T08:00:00Z,7945.4125,7953.49,7857.3925,7869.8625,1644.8893642
2020-01-09T10:00:00Z,7869.3075,7933.98,7854.95,7872.17,1134.48038556
2020-01-09T12:00:00Z,7873.6275,7944.06,7868.8775,7891.38,1333.00917101
2020-01-09T14:00:00Z,7890.7375,7924.8225,7871.9925,7901.4075,1291.78652535
