date,open,high,low,close,volume
2015-01-01T00:00:00Z,322.31,322.9,318.2,318.31,1580.0
2015-01-01T04:00:00Z,318.57,318.98,313.81,315.2,1696.0
2015-01-01T08:00:00Z,315.41,316.89,314.74,315.9,362.0
2015-01-01T12:00:00Z,316.13,317.23,315.6,315.95,202.0
2015-01-01T16:00:00Z,315.8,316.46,315.05,316.03,642.0
2015-01-01T20:00:00Z,316.0,316.61,314.21,314.96,703.0
2015-01-02T00:00:00Z,314.54,316.1,313.28,314.84,823.0
2015-01-02T04:00:00Z,314.74,315.99,314.01,314.17,553.0
2015-01-02T08:00:00Z,314.04,315.71,314.01,314.75,445.0
2015-01-02T12:00:00Z,314.77,316.74,314.76,315.95,680.0
2015-01-02T16:00:00Z,315.75,316.41,313.7,315.5,940.0
2015-01-02T20:00:00Z,315.5,316.01,315.01,315.81,404.0
2015-01-03T00:00:00Z,315.8,315.99,310.41,312.11,2246.0
2015-01-03T04:00:00Z,312.16,313.58,306.66,306.67,3547.0
2015-01-03T08:00:00Z,306.66,307.5,305.1,305.1,1693.0
2015-01-03T12:00:00Z,305.1,305.1,294.15,299.77,17511.0
2015-01-03T16:00:00Z,299.8,302.99,293.42,294.0,4614.0
2015-01-03T20:00:00Z,294.01,296.24,277.5,278.22,17755.0
2015-01-04T00:00:00Z,278.04,288.74,275.31,278.0,19871.0
2015-01-04T04:00:00Z,278.0,284.49,277.08,281.43,5921.0
2015-01-04T08:00:00Z,281.43,287.5,280.0,281.5,4479.0
2015-01-04T12:00:00Z,281.65,282.89,255.03,264.0,33371.0
2015-01-04T16:00:00Z,264.14,273.9,262.0,266.62,11011.0
2015-01-04T20:00:00Z,266.8,269.44,258.06,264.19,6600.0
2015-01-05T00:00:00Z,264.04,278.3,264.04,271.15,12718.0
2015-01-05T04:00:00Z,271.15,278.91,267.3,275.4,7255.0
2015-01-05T08:00:00Z,275.2,279.5,270.55,271.31,4906.0
2015-01-05T12:00:00Z,271.31,277.5,269.99,272.09,4690.0
2015-01-05T16:00:00Z,272.35,273.75,263.75,267.94,10524.0
2015-01-05T20:00:00Z,267.93,280.44,267.4,274.84,10759.0
2015-01-06T00:00:00Z,274.85,277.0,272.1,274.42,3128.0
2015-01-06T04:00:00Z,274.5,277.9,274.03,277.8,3596.0
2015-01-06T08:00:00Z,277.8,278.38,272.71,276.1,3418.0
2015-01-06T12:00:00Z,275.85,276.1,273.71,274.25,2255.0
2015-01-06T16:00:00Z,274.25,290.45,273.8,286.02,15530.0
2015-01-06T20:00:00Z,286.01,291.94,284.52,288.43,8198.0
2015-01-07T00:00:00Z,288.36,288.78,284.0,284.89,3936.0
2015-01-07T04:00:00Z,285.06,289.4,284.43,287.38,2657.0
2015-01-07T08:00:00Z,287.37,290.73,286.0,287.25,4827.0
2015-01-07T12:00:00Z,287.09,289.49,286.01,288.05,2449.0
2015-01-07T16:00:00Z,288.06,303.33,287.49,298.0,11947.0
2015-01-07T20:00:00Z,298.0,301.49,295.15,297.99,5197.0
2015-01-08T00:00:00Z,297.89,298.47,289.19,291.47,5544.0
2015-01-08T04:00:00Z,291.24,292.43,289.42,291.0,2665.0
2015-01-08T08:00:00Z,290.31,294.4,288.22,289.51,4975.0
2015-01-08T12:00:00Z,289.53,289.88,282.01,287.48,6225.0
2015-01-08T16:00:00Z,287.95,295.88,287.49,290.3,6525.0
2015-01-08T20:00:00Z,290.55,293.46,283.0,283.21,6731.0
2015-01-09T00:00:00Z,283.99,285.0,280.4,283.27,3806.0
2015-01-09T04:00:00Z,283.28,286.51,283.03,283.97,2351.0
2015-01-09T08:00:00Z,283.75,286.0,282.5,285.66,2054.0
2015-01-09T12:00:00Z,285.6,289.5,284.51,285.8,4200.0
2015-01-09T16:00:00Z,285.79,297.32,285.34,292.18,6283.0
2015-01-09T20:00:00Z,292.18,296.57,286.45,290.51,10121.0
2015-01-10T00:00:00Z,290.58,292.1,286.77,289.42,2840.0
2015-01-10T04:00:00Z,289.42,290.91,283.07,284.12,2831.0
2015-01-10T08:00:00Z,284.12,284.67,276.0,279.85,7758.0
2015-01-10T12:00:00Z,280.0,281.0,275.0,276.77,5803.0
2015-01-10T16:00:00Z,276.26,280.42,275.43,276.61,2907.0
2015-01-10T20:00:00Z,276.58,279.5,275.5,276.03,2891.0
2015-01-11T00:00:00Z,276.01,282.86,275.01,280.01,2972.0
2015-01-11T04:00:00Z,280.01,280.01,276.0,276.31,1522.0
2015-01-11T08:00:00Z,276.69,279.15,276.2,277.5,1905.0
2015-01-11T12:00:00Z,277.57,280.3,268.8,271.45,5305.0
2015-01-11T16:00:00Z,271.45,273.39,266.0,268.11,5854.0
2015-01-11T20:00:00Z,268.11,270.83,265.83,267.27,5256.0
2015-01-12T00:00:00Z,267.54,272.63,267.15,271.56,3215.0
2015-01-12T04:00:00Z,271.61,273.7,271.1,272.48,1493.0
2015-01-12T08:00:00Z,272.05,272.74,266.24,269.89,5395.0
2015-01-12T12:00:00Z,270.34,274.44,267.56,272.85,4390.0
2015-01-12T16:00:00Z,272.83,273.87,270.1,271.79,2185.0
2015-01-12T20:00:00Z,271.71,272.35,268.37,268.75,4718.0
2015-01-13T00:00:00Z,268.6,269.66,244.12,244.5,37778.0
2015-01-13T04:00:00Z,244.52,251.49,241.01,246.17,19522.0
2015-01-13T08:00:00Z,246.02,250.0,226.2,228.88,22245.0
2015-01-13T12:00:00Z,228.88,240.0,226.1,236.6,22293.0
2015-01-13T16:00:00Z,236.51,243.0,231.1,238.91,17526.0
2015-01-13T20:00:00Z,238.91,239.42,219.0,228.07,31106.0
2015-01-14T00:00:00Z,228.49,228.49,215.9,220.86,19693.0
2015-01-14T04:00:00Z,220.46,222.07,166.45,186.0,74301.0
2015-01-14T08:00:00Z,186.11,224.76,184.0,194.99,63335.0
2015-01-14T12:00:00Z,194.99,209.0,186.66,196.72,28699.0
2015-01-14T16:00:00Z,196.74,196.97,175.01,186.93,49633.0
2015-01-14T20:00:00Z,186.86,191.0,172.51,182.0,33893.0
2015-01-15T00:00:00Z,181.0,215.0,179.05,195.49,53693.0
2015-01-15T04:00:00Z,195.35,207.5,191.1,200.5,19670.0
2015-01-15T08:00:00Z,200.5,216.57,198.5,211.94,23579.0
2015-01-15T12:00:00Z,211.78,230.74,211.78,220.72,40239.0
2015-01-15T16:00:00Z,221.44,224.4,211.0,214.19,16240.0
2015-01-15T20:00:00Z,213.57,216.5,195.0,209.81,30941.0
2015-01-16T00:00:00Z,209.81,222.5,207.01,220.8,15789.0
2015-01-16T04:00:00Z,221.0,223.1,212.0,217.02,12492.0
2015-01-16T08:00:00Z,216.86,222.45,211.51,215.69,11630.0
2015-01-16T12:00:00Z,215.51,215.68,202.34,208.2,14897.0
2015-01-16T16:00:00Z,208.31,211.7,197.72,209.54,15366.0
2015-01-16T20:00:00Z,209.39,213.5,201.9,208.5,10133.0
2015-01-17T00:00:00Z,208.52,214.0,205.76,209.9,5294.0
2015-01-17T04:00:00Z,210.0,210.5,197.67,200.67,15441.0
2015-01-17T08:00:00Z,200.7,203.0,192.2,198.68,12815.0
2015-01-17T12:00:00Z,198.68,201.14,194.3,198.66,6890.0
2015-01-17T16:00:00Z,198.72,202.6,196.64,199.41,4929.0
2015-01-17T20:00:00Z,199.41,201.5,197.26,201.09,3538.0
2015-01-18T00:00:00Z,201.08,201.7,194.22,195.49,8004.0
2015-01-18T04:00:00Z,195.49,199.34,194.0,194.97,3645.0
2015-01-18T08:00:00Z,194.97,215.0,194.29,212.02,25509.0
2015-01-18T12:00:00Z,212.04,222.0,208.2,211.87,15743.0
2015-01-18T16:00:00Z,211.55,214.0,207.0,213.86,6071.0
2015-01-18T20:00:00Z,213.54,215.88,207.6,211.03,6603.0
2015-01-19T00:00:00Z,210.98,218.0,210.98,212.84,6951.0
2015-01-19T04:00:00Z,212.67,219.51,207.0,207.96,8000.0
2015-01-19T08:00:00Z,208.03,211.9,207.9,211.7,2930.0
2015-01-19T12:00:00Z,211.9,213.5,209.51,211.19,3539.0
2015-01-19T16:00:00Z,211.29,213.02,211.22,211.66,2037.0
2015-01-19T20:00:00Z,211.62,219.95,211.45,216.2,8976.0
2015-01-20T00:00:00Z,216.14,219.25,211.0,213.65,14635.0
2015-01-20T04:00:00Z,213.67,214.43,208.0,209.6,6731.0
2015-01-20T08:00:00Z,209.6,211.33,209.1,209.65,3955.0
2015-01-20T12:00:00Z,209.9,214.41,203.7,212.0,15533.0
2015-01-20T16:00:00Z,212.21,214.95,211.61,214.15,6789.0
2015-01-20T20:00:00Z,214.05,214.3,210.0,212.11,4509.0
2015-01-21T00:00:00Z,212.1,216.5,212.1,213.0,4835.0
2015-01-21T04:00:00Z,213.4,217.4,211.0,212.5,8338.0
2015-01-21T08:00:00Z,212.5,215.22,212.44,212.7,2697.0
2015-01-21T12:00:00Z,212.7,214.8,211.47,213.5,3502.0
2015-01-21T16:00:00Z,213.54,216.95,213.54,216.5,6015.0
2015-01-21T20:00:00Z,216.43,230.0,216.35,228.08,32397.0
2015-01-22T00:00:00Z,228.05,242.0,225.29,232.07,26388.0
2015-01-22T04:00:00Z,232.03,236.23,229.77,231.51,7777.0
2015-01-22T08:00:00Z,231.79,236.34,230.75,232.54,4368.0
2015-01-22T12:00:00Z,232.55,239.9,231.8,233.4,8576.0
2015-01-22T16:00:00Z,233.4,236.4,233.28,234.1,3977.0
2015-01-22T20:00:00Z,234.1,234.99,229.78,234.7,6256.0
2015-01-23T00:00:00Z,234.7,235.48,225.13,227.4,11272.0
2015-01-23T04:00:00Z,227.43,232.46,225.89,228.39,4613.0
2015-01-23T08:00:00Z,228.39,228.39,225.52,226.63,4188.0
2015-01-23T12:00:00Z,226.51,233.9,226.12,231.82,8058.0
2015-01-23T16:00:00Z,231.81,233.9,230.88,233.01,4183.0
2015-01-23T20:00:00Z,233.01,236.98,230.5,233.12,7403.0
2015-01-24T00:00:00Z,233.37,233.6,229.03,231.98,3334.0
2015-01-24T04:00:00Z,231.56,235.78,231.56,232.4,3799.0
